Path,object description,defect description
cable/bent_wire/000.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the lower left part has a defect with one protruding and bent wire, colored copper yellow. Also, another defect in the same section shows two protruding and bent wires, colored copper yellow."
cable/bent_wire/001.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the lower left part, the blue small cable's defect consists of four protruding and bent wires, colored copper yellow."
cable/bent_wire/002.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding and bending, colored brass. Additionally, another defect in the green small cable shows two protruding and bent wires, colored copper yellow."
cable/bent_wire/003.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the lower left part has a defect with one black hole, colored black. Another defect in the same section shows two black holes, colored black. The gray small cable in the lower right part has a defect with three protruding and bent wires, colored copper yellow."
cable/bent_wire/004.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The gray small cable in the lower right part has a defect with half of the wire protruding and bent, colored copper yellow."
cable/bent_wire/005.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding and bent, colored brass. The gray small cable in the lower left part is colored blue, and the blue small cable in the lower right part is colored gray."
cable/bent_wire/006.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","In the lower left part, the blue small cable has a defect with two-thirds of the wire protruding and bent, colored copper yellow. The gray small cable in the lower right part has a defect with one black hole, colored black, totaling two. Another defect in the same gray cable shows several black holes, colored black."
cable/bent_wire/007.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding and bent, colored brass. The gray small cable in the lower right part has a defect with several black holes, colored black."
cable/bent_wire/008.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding, colored brass."
cable/bent_wire/009.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the lower left part has a defect with half of the wire protruding and bent, colored copper yellow."
cable/bent_wire/010.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The blue small cable in the lower left part has a defect with one black hole, colored black. Another defect in the same section shows several black holes, colored black. The gray small cable in the lower right part has a defect with two-thirds of the wire protruding and bent, colored copper yellow."
cable/bent_wire/011.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with half of the wire protruding and bent, colored brass, totaling two. The blue small cable in the lower left part has a defect with two-thirds of the wire protruding and bent, colored copper yellow. The gray small cable in the lower right part shows several black holes, colored black."
cable/bent_wire/012.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ","The green small cable in the upper half has a defect with three protruding and bent wires, colored copper yellow, totaling two. The gray small cable in the lower right part has a defect with half of the wire protruding and bent, colored copper yellow."
cable/cable_swap/000.png,"A cross-sectional view of a cable, with a blue outer ring enclosing smaller cables in green, blue, and gray. The green cable is fixed in the upper half, the blue cable in the lower left, and the gray cable in the lower right, against a blue background. ",The blue small cable in the lower right part is colored gray.
